time, Ex_field_energy, Ex_max_norm
2.2000000000e+00 5.0752126164e+02 6.7446152203e+00
2.2500000000e+00 5.0755150223e+02 5.9521221256e+00
2.3000000000e+00 5.0493939590e+02 5.5988426946e+00
2.3500000000e+00 5.0521602031e+02 5.7283681724e+00
2.4000000000e+00 5.0805430156e+02 5.6185448662e+00
2.4500000000e+00 5.0557816261e+02 5.6725399559e+00
2.5000000000e+00 5.0382244732e+02 5.3075320318e+00
2.5500000000e+00 5.0277704274e+02 5.9378143213e+00
2.6000000000e+00 5.0478786106e+02 6.1197694329e+00
2.6500000000e+00 5.0074125769e+02 5.8340260782e+00
2.7000000000e+00 4.9925909142e+02 6.8445420599e+00
2.7500000000e+00 4.9669450953e+02 5.7068625341e+00
2.8000000000e+00 4.9235279976e+02 5.8387776559e+00
2.8500000000e+00 4.8989706771e+02 6.2026758370e+00
2.9000000000e+00 4.8997781010e+02 6.1197181708e+00
2.9500000000e+00 4.8697920906e+02 5.3061752161e+00
3.0000000000e+00 4.8251176513e+02 5.8002323467e+00
3.0500000000e+00 4.8205146197e+02 5.8932572187e+00
3.1000000000e+00 4.7885344708e+02 6.1397415589e+00
3.1500000000e+00 4.7796519584e+02 6.0715680988e+00
3.2000000000e+00 4.8293480630e+02 6.7125295657e+00
3.2500000000e+00 4.8315765567e+02 6.6658643122e+00
3.3000000000e+00 4.8061281325e+02 7.7798795836e+00
3.3500000000e+00 4.8041083407e+02 5.6338314375e+00
3.4000000000e+00 4.7824650039e+02 6.4753487303e+00
3.4500000000e+00 4.7679937710e+02 5.5494492330e+00
3.5000000000e+00 4.7923746632e+02 6.0088993751e+00
3.5500000000e+00 4.8154603986e+02 6.3124960779e+00
3.6000000000e+00 4.8127927298e+02 6.0788659999e+00
3.6500000000e+00 4.7929212481e+02 6.9075698429e+00
3.7000000000e+00 4.8225185328e+02 6.3502769238e+00
3.7500000000e+00 4.8325856582e+02 5.5247133959e+00
3.8000000000e+00 4.8360563249e+02 6.7493726583e+00
3.8500000000e+00 4.8147062039e+02 6.4439770715e+00
3.9000000000e+00 4.8220914909e+02 8.2235734342e+00
3.9500000000e+00 4.8455836039e+02 7.1440211558e+00
4.0000000000e+00 4.8012288093e+02 5.6180071875e+00
4.0500000000e+00 4.8150274501e+02 6.6426040534e+00
4.1000000000e+00 4.7938878964e+02 6.6259095775e+00
